"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Gas","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.821,2.8923,2.835,2.563,2.4075
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",2.1586,3.0561000000000003,3.6347,4.7413,6.3338,6.9639000000000015,9.7274,10.5532,11.7792
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Solar","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,3.083,3.4267,3.9582
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Fossil","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,4.4577,4.4741,4.0804,3.7187,3.4588
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8523000000000001,0.9422,1.1028,1.307,1.6695000000000002
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.1117,0.7129,0.3034,0.0485,0.0052
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Oil","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2436,0.2804,0.2301,0.2162,0.2078
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity","EJ/yr",12.0965,12.0298,13.1385,14.0097,15.6143,16.6939,19.6737,20.713,21.8571
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Coal","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.3931,1.3014,1.0153,0.9397,0.8433999999999999
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass|w/ CCS","EJ/yr",0,0,0,0,0.0013,0.0003,0.0321,0.0377,0.0425
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Geothermal","EJ/yr",0.0905,0.1307,0.1414,0.1548999999999999,0.1699999999999999,0.1865,0.2047999999999999,0.2246999999999999,0.2463
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Hydro","EJ/yr",1.3798,1.3519,1.4364,1.7421,1.8309,1.8709,1.9228,1.9228,1.9228
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Wind","EJ/yr",0.5296,1.0819,1.2648,1.7919,2.5833,2.9138,4.4590000000000005,4.9085,5.5583
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/ CCS","EJ/yr",0,0,0,0,0.431,0.1571,0.8626999999999999,1.4206,1.6477
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.39,2.7352000000000003,1.9723,1.1422,0.7598
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Oil|w/ CCS","EJ/yr",0,0,0,0,0.0412,0.0152,0.07,0.1198,0.1422
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Nuclear","EJ/yr",3.1181,2.95,3.2571,3.5962,3.9705,4.3138,4.7631000000000006,5.1339999999999995,4.9497
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Wind|Onshore","EJ/yr",0.5296,1.0819,1.2648,1.7919,2.5833,2.9138,4.4590000000000005,4.9085,5.5583
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2024,0.2651,0.1601,0.0964,0.0656
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8509,0.9419,1.0708,1.2693,1.6269
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",1136.9996,986.5324,988.1851,815.7514,612.0033,586.471,393.9424,227.4846,161.6719
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Solar|PV","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,3.083,3.4267,3.9582
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Fossil|w/ CCS","EJ/yr",0,0,0,0,0.7535000000000001,0.7607999999999999,1.6445,2.4317,2.6282
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Transmission Losses","EJ/yr",0.7959999999999999,0.7521,0.7814,0.807,0.8786,0.9181,1.0442,1.0834,1.1297
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Secondary Energy|Electricity|Fossil|w/o CCS","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,3.7041,3.7133,2.4358,1.2871,0.8306
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/ CCS","EJ/yr",0,0,0,0,0.2814,0.5885,0.7287,0.9174,0.8615
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Gas","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.821,2.8923,2.9130000000000003,2.7296,2.6411
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",2.1586,3.0561000000000003,3.6347,4.7413,6.3338,6.9639000000000015,9.2805,10.0003,11.2909
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Solar","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,2.8982,3.2019,3.7488
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Fossil","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,4.4577,4.4741,4.2003,3.9422,3.7508
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Biomass","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8523000000000001,0.9422,1.0908,1.2928,1.6454
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.1117,0.7129,0.3126,0.0528,0.0116
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Oil","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2436,0.2804,0.2459,0.2424,0.2366
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity","EJ/yr",12.0965,12.0298,13.1385,14.0097,15.6143,16.6939,19.3346,20.0653,21.4082
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Coal","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.3931,1.3014,1.0414,0.9702,0.8732
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Biomass|w/ CCS","EJ/yr",0,0,0,0,0.0013,0.0003,0.028999999999999998,0.0171,0.0283
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Geothermal","EJ/yr",0.0905,0.1307,0.1414,0.1548999999999999,0.1699999999999999,0.1865,0.2047999999999999,0.2246999999999999,0.2447
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Hydro","EJ/yr",1.3798,1.3519,1.4364,1.7421,1.8309,1.8709,1.9228,1.9228,1.9228
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Wind","EJ/yr",0.5296,1.0819,1.2648,1.7919,2.5833,2.9138,4.204,4.5893000000000015,5.2912
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/ CCS","EJ/yr",0,0,0,0,0.431,0.1571,0.8864000000000001,1.5131,1.465
"AIM/CGE 2.2","EN_INDCi2030_1400","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.39,2.7352000000000003,2.0265,1.2166,1.1761
