"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.8326,10.8934,10.8287,10.6619,10.4265,10.1902,10.0247,9.9535,9.8524,9.6631,9.5397,9.4046,9.3187
"AIM/CGE 2.2","EN_INDCi2030_1600","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,18.4024,18.7333,18.8991,18.8426,18.6485,18.4774,18.3511,18.480999999999998,18.5861,18.6473,18.6309,18.565,18.6165
"AIM/CGE 2.2","EN_INDCi2030_1600","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1600","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,7.479799999999999,7.8063,8.0395,8.1496,8.1824,8.2304,8.3088,8.5302,8.747200000000001,8.9245,9.058,9.1631,9.326
"AIM/CGE 2.2","EN_INDCi2030_1600","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.9226,10.927,10.8597,10.693,10.4661,10.2471,10.0422,9.9507,9.8388,9.7227,9.5729,9.402000000000001,9.2905
"AIM/CGE 2.2","EN_INDCi2030_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,18.5423,18.8174,18.9528,18.9077,18.7545,18.5485,18.4301,18.4482,18.5473,18.661900000000006,18.7033,18.6534,18.7049
"AIM/CGE 2.2","EN_INDCi2030_1600f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,7.5573,7.8535,8.0704,8.187000000000001,8.2425,8.2698,8.35,8.5094,8.719100000000001,8.9397,9.1142,9.2251,9.3863
"AIM/CGE 2.2","EN_INDCi2030_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.985,10.9638,10.8824,10.7207,10.512,10.2787,10.080100000000002,9.9387,9.8283,9.7222,9.5891,9.4283,9.3188
"AIM/CGE 2.2","EN_INDCi2030_1800","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,18.7263,18.9205,19.006100000000004,18.9946,18.9304,18.7047,18.5718,18.4626,18.5331,18.570999999999998,18.5804,18.5186,18.5716
